"DepthRowID","SampleRowID","DepthNum","Depth","DepthComments"
"{0711A2D0-3B27-456E-B02F-93C433CB91CA}","{D7648173-231A-44F0-9A7D-87762AB5C2B9}",2,1.90,
"{07AF444C-4437-47AC-A4A9-58090827B79F}","{B673FA1E-0850-4E0F-9A69-E39BD1DE7F93}",3,2.80,
"{07D0B2DC-17FE-429B-A196-1706272A50E9}","{F24B7F1A-631C-4B30-B8B6-5D036FC3C8AC}",5,3.20,
"{08272C82-DB54-4949-BD58-17AC253DD554}","{7A4613A5-45A1-420B-967C-8DC9A177E3E6}",4,1.50,
"{082ED6A3-A050-465A-837E-E352940C58EE}","{F31CB638-1F25-49A5-85FA-5FE9CE03D26E}",4,4.30,
"{08DDCE43-2505-437A-AE55-FBA21BEFCED3}","{D31D4A63-9C78-4533-A0CE-78BAD706B3D1}",2,5.10,
"{0949BF82-B806-430A-8BBF-A459C0D3EA78}","{ABC4D7CC-6590-4747-9B6B-631852E4C747}",2,3.40,
"{09699821-5258-4C8A-B0A3-7484659E0C68}","{67C8B3D2-ACF9-44E2-85E3-C7012D4A1368}",4,1.50,
"{09C4D7B9-6417-4D9A-A50C-52191FA5C604}","{47B3F2CE-9E92-493A-8FDB-5369130C5B96}",2,3.90,
"{09CE6477-9C04-46A9-8D3E-C76D48ED239A}","{5AA5D0E6-EBF6-4BF1-94FA-F774A4598F97}",3,1.60,
"{09D15876-90B6-488E-9B7F-9FE8EEFB5F5D}","{9EC2870F-F6B8-4724-B2F1-86D0C423401E}",5,7.10,
"{0A0BF6ED-790F-40A5-A53C-6E16F3D773BB}","{5163BD5F-48CC-4310-8D9B-D7D6EF272A7E}",4,10.10,
"{0A11357D-27F9-4167-BE24-A96612C1762D}","{ECB9A7AF-1CAE-4F01-8CB2-B19187CE5DC9}",2,4.40,
"{0A1FCF86-D2B5-4068-B6D9-6FAE91399BE3}","{25C63636-922E-4DEB-8666-F53ACC6D6C29}",5,1.80,
"{0A9506AB-6F08-4ABD-8226-C0A07EDD5F6C}","{45D48C9C-8360-481B-8F20-668F5D0FD380}",4,3.40,
"{0AA93226-DA72-4F45-A3AD-B89ADFB2E789}","{7BCB335C-2EE1-4093-AB5E-1C5BD2F4ED98}",1,2.10,
"{0AC5FD6B-9174-4C87-AE67-5D238E630E09}","{0FAF218D-6865-44C0-B119-0101FF7A40B5}",1,3.50,
"{0B4D14E7-5624-43DE-81C9-6C5FC135E3EC}","{103530E4-30AC-4BD0-8ED3-19219A88F1B4}",4,1.20,
"{0B61AD80-0547-4DFD-817E-63E7C15AD6DF}","{64AE10BB-B4F5-48B8-A0A1-F87C7031A736}",2,1.50,
"{0B6370F8-3BAF-4F0E-87E3-DEC2F3A2E87A}","{45D48C9C-8360-481B-8F20-668F5D0FD380}",3,3.10,
"{0B66D25D-575F-45AD-8E8A-8E397B3B9FBC}","{D0B25BC5-5A74-447F-8FA3-0EF2D73C339D}",1,6.20,
"{0B68A174-33C5-40DF-9ED8-C1A8779E4768}","{50E6DB5B-B13E-405F-B9D3-1905BC6C72DF}",2,5.40,
"{0BAF6571-60B9-4F10-963E-B5C82F2E01DD}","{F513DCB9-C1D3-41A7-852E-51093C78BFFE}",4,2.30,
"{0BD4F6BA-D53C-4035-8615-96DDD8213B69}","{A6732286-FFE2-4968-A358-82AF95047378}",3,4.50,
"{0C16E6EF-C2C3-4143-84AD-1129C5B96383}","{4193C10A-F8EA-4A8E-9571-17994A39B23A}",2,2.30,
"{0C702E55-0C43-47F2-8D98-46471A45CD94}","{1B4D6593-4D6B-4202-BDD0-71BFDAD7069B}",4,3.00,
"{0CA7B09A-59C1-4ECF-8916-08657CB0B540}","{43205C5B-23C8-43D7-B146-8AA1E8073B4C}",3,3.60,
"{0CAA4124-3C40-4FF9-B79A-7BE6003B7A59}","{8303AAA8-A1D9-45E7-A393-9291F6519C68}",2,10.30,
"{0CBB9938-E87A-466B-98AD-7AB5F9651237}","{68BE1EEB-5CA0-451D-9778-265B3073D760}",5,2.60,
"{0CD8EAEC-34B8-4541-AD96-B078444B3791}","{5CF3594F-96F3-4BCC-9B09-7C2F8C95FFED}",4,6.50,
"{0CE11C7C-BAB0-41EF-9867-BF0F47C55200}","{A973352F-753F-4ECD-8C4D-858F4AE0817D}",1,2.10,
"{0CF6AF1B-94DE-4D75-B860-EC54A2FB0F85}","{F1D51AFF-4B61-41C2-8764-6880F2193CC2}",5,2.50,
