"SledRowID","SampleRowID","StartMeter","EndMeter","TotalMeter","SledComments"
"{01725965-5D69-11D4-B974-006008C01BCF}","{017249A6-5D69-11D4-B974-006008C01BCF}",153761,165717,11956,
"{01725966-5D69-11D4-B974-006008C01BCF}","{017249A7-5D69-11D4-B974-006008C01BCF}",189180,201880,12700,
"{01725967-5D69-11D4-B974-006008C01BCF}","{017249A8-5D69-11D4-B974-006008C01BCF}",201880,214060,12180,
"{01725968-5D69-11D4-B974-006008C01BCF}","{017249A9-5D69-11D4-B974-006008C01BCF}",214060,225672,11612,
"{01725969-5D69-11D4-B974-006008C01BCF}","{017249AA-5D69-11D4-B974-006008C01BCF}",225701,237608,11907,
"{0172596A-5D69-11D4-B974-006008C01BCF}","{017249AB-5D69-11D4-B974-006008C01BCF}",237608,249335,11727,
"{0172596B-5D69-11D4-B974-006008C01BCF}","{017249AC-5D69-11D4-B974-006008C01BCF}",249335,260689,11354,
"{0172596C-5D69-11D4-B974-006008C01BCF}","{017249AD-5D69-11D4-B974-006008C01BCF}",298304,309271,10967,
"{0172596D-5D69-11D4-B974-006008C01BCF}","{017249AE-5D69-11D4-B974-006008C01BCF}",309271,320036,10765,
"{0172596E-5D69-11D4-B974-006008C01BCF}","{017249AF-5D69-11D4-B974-006008C01BCF}",320036,337606,17570,
"{0172596F-5D69-11D4-B974-006008C01BCF}","{017249B0-5D69-11D4-B974-006008C01BCF}",439504,450759,11255,
"{01725970-5D69-11D4-B974-006008C01BCF}","{017249B1-5D69-11D4-B974-006008C01BCF}",450759,460046,9287,
"{01725971-5D69-11D4-B974-006008C01BCF}","{017249B2-5D69-11D4-B974-006008C01BCF}",460046,471555,11509,
"{01725972-5D69-11D4-B974-006008C01BCF}","{017249B3-5D69-11D4-B974-006008C01BCF}",404132,414792,10660,
"{01725973-5D69-11D4-B974-006008C01BCF}","{017249B4-5D69-11D4-B974-006008C01BCF}",414792,425490,10698,
"{01725974-5D69-11D4-B974-006008C01BCF}","{017249B5-5D69-11D4-B974-006008C01BCF}",425490,439504,14014,
"{01725975-5D69-11D4-B974-006008C01BCF}","{017249B6-5D69-11D4-B974-006008C01BCF}",370747,382726,11979,
"{01725976-5D69-11D4-B974-006008C01BCF}","{017249B7-5D69-11D4-B974-006008C01BCF}",382726,393700,10974,
"{01725977-5D69-11D4-B974-006008C01BCF}","{017249B8-5D69-11D4-B974-006008C01BCF}",393700,404132,10432,
"{01725978-5D69-11D4-B974-006008C01BCF}","{017249B9-5D69-11D4-B974-006008C01BCF}",337606,348514,10908,
"{01725979-5D69-11D4-B974-006008C01BCF}","{017249BA-5D69-11D4-B974-006008C01BCF}",348514,359484,10970,
"{0172597A-5D69-11D4-B974-006008C01BCF}","{017249BB-5D69-11D4-B974-006008C01BCF}",359484,370747,11263,
"{0172597B-5D69-11D4-B974-006008C01BCF}","{017249BC-5D69-11D4-B974-006008C01BCF}",,,,
"{0172597C-5D69-11D4-B974-006008C01BCF}","{017249BD-5D69-11D4-B974-006008C01BCF}",,,,
"{0172597D-5D69-11D4-B974-006008C01BCF}","{017249BE-5D69-11D4-B974-006008C01BCF}",,,,
"{0172597E-5D69-11D4-B974-006008C01BCF}","{017249BF-5D69-11D4-B974-006008C01BCF}",,,,
"{0172597F-5D69-11D4-B974-006008C01BCF}","{017249C0-5D69-11D4-B974-006008C01BCF}",,,,
"{01725980-5D69-11D4-B974-006008C01BCF}","{017249C1-5D69-11D4-B974-006008C01BCF}",,,,
"{01725981-5D69-11D4-B974-006008C01BCF}","{017249C2-5D69-11D4-B974-006008C01BCF}",,,,
"{01725982-5D69-11D4-B974-006008C01BCF}","{017249C3-5D69-11D4-B974-006008C01BCF}",,,,
"{01725983-5D69-11D4-B974-006008C01BCF}","{017249C4-5D69-11D4-B974-006008C01BCF}",,,,
"{01725984-5D69-11D4-B974-006008C01BCF}","{017249C5-5D69-11D4-B974-006008C01BCF}",,,,
